Week,Day,Hour,Building,Demand_Prediction,Pressure_Multiplier,Timestep
1,Monday,0,Grainger Library,0.0,1.0,0
1,Monday,0,Funk Library,0.0,1.0,0
1,Monday,0,Main Library,-1.0,1.0,0
1,Monday,0,Illini Union,-1.0,1.0,0
1,Monday,0,CIF,-1.0,1.0,0
1,Monday,0,BIF,-1.0,1.0,0
1,Monday,0,Siebel Center for CS,-1.0,1.0,0
1,Monday,0,Siebel Center for Design,-1.0,1.0,0
1,Monday,1,Grainger Library,0.0,1.0,1
1,Monday,1,Funk Library,0.0,1.0,1
1,Monday,1,Main Library,-1.0,1.0,1
1,Monday,1,Illini Union,-1.0,1.0,1
1,Monday,1,CIF,-1.0,1.0,1
1,Monday,1,BIF,-1.0,1.0,1
1,Monday,1,Siebel Center for CS,-1.0,1.0,1
1,Monday,1,Siebel Center for Design,-1.0,1.0,1
1,Monday,2,Grainger Library,0.001,1.0,2
1,Monday,2,Funk Library,-1.0,1.0,2
1,Monday,2,Main Library,-1.0,1.0,2
1,Monday,2,Illini Union,-1.0,1.0,2
1,Monday,2,CIF,-1.0,1.0,2
1,Monday,2,BIF,-1.0,1.0,2
1,Monday,2,Siebel Center for CS,-1.0,1.0,2
1,Monday,2,Siebel Center for Design,-1.0,1.0,2
1,Monday,3,Grainger Library,0.002,1.0,3
1,Monday,3,Funk Library,-1.0,1.0,3
1,Monday,3,Main Library,-1.0,1.0,3
1,Monday,3,Illini Union,-1.0,1.0,3
1,Monday,3,CIF,-1.0,1.0,3
1,Monday,3,BIF,-1.0,1.0,3
1,Monday,3,Siebel Center for CS,-1.0,1.0,3
1,Monday,3,Siebel Center for Design,-1.0,1.0,3
1,Monday,4,Grainger Library,0.005,1.0,4
1,Monday,4,Funk Library,-1.0,1.0,4
1,Monday,4,Main Library,-1.0,1.0,4
1,Monday,4,Illini Union,-1.0,1.0,4
1,Monday,4,CIF,-1.0,1.0,4
1,Monday,4,BIF,-1.0,1.0,4
1,Monday,4,Siebel Center for CS,-1.0,1.0,4
1,Monday,4,Siebel Center for Design,-1.0,1.0,4
1,Monday,5,Grainger Library,0.011,1.0,5
1,Monday,5,Funk Library,-1.0,1.0,5
1,Monday,5,Main Library,-1.0,1.0,5
1,Monday,5,Illini Union,-1.0,1.0,5
1,Monday,5,CIF,-1.0,1.0,5
1,Monday,5,BIF,-1.0,1.0,5
1,Monday,5,Siebel Center for CS,-1.0,1.0,5
1,Monday,5,Siebel Center for Design,-1.0,1.0,5
1,Monday,6,Grainger Library,0.025,1.0,6
1,Monday,6,Funk Library,-1.0,1.0,6
1,Monday,6,Main Library,-1.0,1.0,6
1,Monday,6,Illini Union,-1.0,1.0,6
1,Monday,6,CIF,-1.0,1.0,6
1,Monday,6,BIF,0.041,1.0,6
1,Monday,6,Siebel Center for CS,-1.0,1.0,6
1,Monday,6,Siebel Center for Design,-1.0,1.0,6
